replica,domain,column,strength,row,psnr_db,ssim,noop_db,gain_db,gain_ssim,reference_row,denominator_db,retained
1,synthetic,d3n,5,d15,22.62977136280615,0.3384189128938695,25.145048899225227,-2.5152775364190774,-0.23601982324266102,d3n,1.2524403137780133,-2.008301320828366
1,synthetic,d3n,5,d2,24.103250864593075,0.4745884448758593,25.145048899225227,-1.0417980346321514,-0.09985029126067119,d3n,1.2524403137780133,-0.831814516964521
1,synthetic,d3n,5,d3,24.91354459484978,0.561290536388545,25.145048899225227,-0.23150430437544856,-0.013148199747985534,d3n,1.2524403137780133,-0.18484258437602571
1,synthetic,d3n,5,d3n,26.39748921300324,0.6477335463611172,25.145048899225227,1.2524403137780133,0.07329481022458673,d3n,1.2524403137780133,1.0
1,synthetic,d3n,all,noop,26.739945463905872,0.652498326970378,26.739945463905872,0.0,0.0,d3n,1.4922814654139849,0.0
1,synthetic,d3n,all,d0,20.62133215220993,0.23544099562065982,26.739945463905872,-6.118613311695942,-0.41705733134971823,d3n,1.4922814654139849,-4.100173763130223
1,synthetic,d3n,all,d1,24.956220704951757,0.5059562999207369,26.739945463905872,-1.783724758954115,-0.14654202704964114,d3n,1.4922814654139849,-1.1953004847240924
1,synthetic,d3n,all,d15,23.116813068049613,0.37723127886457064,26.739945463905872,-3.62313239585626,-0.2752670481058074,d3n,1.4922814654139849,-2.4279148939581177
1,synthetic,d3n,all,d2,25.19734481990617,0.5284384320915585,26.739945463905872,-1.5426006439997018,-0.12405989487881952,d3n,1.4922814654139849,-1.033719629809754
1,synthetic,d3n,all,d3,26.545764197157023,0.6445254752048304,26.739945463905872,-0.19418126674884917,-0.007972851765547628,d3n,1.4922814654139849,-0.13012375429790646
1,synthetic,d3n,all,d3n,28.232226929319857,0.7298924356122531,26.739945463905872,1.4922814654139849,0.07739410864187513,d3n,1.4922814654139849,1.0
2,synthetic,d0,1,noop,33.193762626827045,0.8539628277754,33.193762626827045,0.0,0.0,d0,6.571502659757371,0.0
2,synthetic,d0,1,d0,39.765265286584416,0.9736382466302791,33.193762626827045,6.571502659757371,0.11967541885487909,d0,6.571502659757371,1.0
2,synthetic,d0,1,d1,40.95223208002081,0.9731841225355444,33.193762626827045,7.758469453193769,0.11922129476014443,d0,6.571502659757371,1.180623345206136
2,synthetic,d0,1,d15,36.49472269622373,0.9427266634462025,33.193762626827045,3.3009600693966874,0.08876383567080248,d0,6.571502659757371,0.5023143473122422
2,synthetic,d0,1,d2,36.236057373548334,0.9394859762930534,33.193762626827045,3.0422947467212893,0.08552314851765341,d0,6.571502659757371,0.46295267676778434
2,synthetic,d0,1,d3,34.84890316528893,0.9110661212603252,33.193762626827045,1.655140538461886,0.057103293484925155,d0,6.571502659757371,0.251866372754842
2,synthetic,d0,1,d3n,33.42271703979779,0.8964566299165359,33.193762626827045,0.2289544129707437,0.04249380214113585,d0,6.571502659757371,0.03484049612774516
2,synthetic,d0,2,noop,30.58534107494802,0.7570829728623512,30.58534107494802,0.0,0.0,d0,6.140434365608321,0.0
2,synthetic,d0,2,d0,36.72577544055634,0.939784749617599,30.58534107494802,6.140434365608321,0.1827017767552478,d0,6.140434365608321,1.0
2,synthetic,d0,2,d1,36.943380215783634,0.9398352821500089,30.58534107494802,6.358039140835615,0.18275230928765773,d0,6.140434365608321,1.0354380101261347
2,synthetic,d0,2,d15,32.370960055427375,0.8400603488269546,30.58534107494802,1.7856189804793559,0.08297737596460342,d0,6.140434365608321,0.290796851519226
2,synthetic,d0,2,d2,32.58103115995166,0.8359932905939264,30.58534107494802,1.9956900850036376,0.0789103177315752,d0,6.140434365608321,0.3250079662411518
2,synthetic,d0,2,d3,31.46372089135255,0.7968042224057963,30.58534107494802,0.8783798164045322,0.039721249543445136,d0,6.140434365608321,0.14304848225790176
2,synthetic,d0,2,d3n,31.052822316129443,0.792627386923687,30.58534107494802,0.4674812411814244,0.035544414061335794,d0,6.140434365608321,0.07613162414042218
2,synthetic,d0,3,noop,29.000632517281833,0.6890476968436734,29.000632517281833,0.0,0.0,d0,5.10517458418725,0.0
2,synthetic,d0,3,d0,34.10580710146908,0.8877911236084682,29.000632517281833,5.10517458418725,0.19874342676479484,d0,5.10517458418725,1.0
2,synthetic,d0,3,d1,34.19173422441796,0.8864812852071484,29.000632517281833,5.191101707136124,0.19743358836347502,d0,5.10517458418725,1.0168313779542475
2,synthetic,d0,3,d15,30.787126097701524,0.7725730413786123,29.000632517281833,1.786493580419691,0.08352534453493887,d0,5.10517458418725,0.34993780348926173
2,synthetic,d0,3,d2,30.993607745282528,0.7695839903192341,29.000632517281833,1.9929752280006952,0.08053629347556068,d0,5.10517458418725,0.39038336400359935
2,synthetic,d0,3,d3,29.550548076002812,0.71251220497447,29.000632517281833,0.5499155587209792,0.02346450813079659,d0,5.10517458418725,0.1077172875584482
2,synthetic,d0,3,d3n,29.295570274675395,0.7115009920991643,29.000632517281833,0.2949377573935621,0.02245329525549089,d0,5.10517458418725,0.05777231562405354
2,synthetic,d0,4,noop,27.931240005672258,0.6455874360657075,27.931240005672258,0.0,0.0,d0,4.449766700816269,0.0
2,synthetic,d0,4,d0,32.38100670648853,0.8378528164558008,27.931240005672258,4.449766700816269,0.19226538039009333,d0,4.449766700816269,1.0
2,synthetic,d0,4,d1,29.994158347582033,0.7382174718268041,27.931240005672258,2.062918341909775,0.09263003576109663,d0,4.449766700816269,0.4636014606184525
2,synthetic,d0,4,d15,29.62341901806039,0.7151878046513723,27.931240005672258,1.6921790123881308,0.06960036858566487,d0,4.449766700816269,0.38028488371709823
2,synthetic,d0,4,d2,29.81605062439968,0.7160694316743126,27.931240005672258,1.8848106187274212,0.07048199560860513,d0,4.449766700816269,0.42357515471129525
2,synthetic,d0,4,d3,28.288012146748287,0.6595513638518226,27.931240005672258,0.3567721410760285,0.013963927786115105,d0,4.449766700816269,0.08017771830837377
2,synthetic,d0,4,d3n,28.079316428815815,0.6591467045562368,27.931240005672258,0.14807642314355718,0.013559268490529353,d0,4.449766700816269,0.03327734533057517
2,synthetic,d0,5,noop,27.140894081402273,0.6171425798493372,27.140894081402273,0.0,0.0,d0,3.931798625104303,0.0
2,synthetic,d0,5,d0,31.072692706506576,0.7795549400507564,27.140894081402273,3.931798625104303,0.16241236020141925,d0,3.931798625104303,1.0
2,synthetic,d0,5,d1,28.044251945567243,0.6544601597864304,27.140894081402273,0.9033578641649704,0.03731757993709317,d0,3.931798625104303,0.22975690016194714
2,synthetic,d0,5,d15,28.492681689911606,0.6676015907316141,27.140894081402273,1.3517876085093334,0.05045901088227689,d0,3.931798625104303,0.3438089631239629
2,synthetic,d0,5,d2,28.69134808213498,0.671466022592755,27.140894081402273,1.5504540007327066,0.05432344274341783,d0,3.931798625104303,0.3943370829912674
2,synthetic,d0,5,d3,27.3712608491423,0.6258035181609678,27.140894081402273,0.2303667677400263,0.008660938311630617,d0,3.931798625104303,0.058590683222977905
2,synthetic,d0,5,d3n,27.184710664704372,0.6255685202644464,27.140894081402273,0.04381658330209959,0.008425940415109245,d0,3.931798625104303,0.011144157542131806
2,synthetic,d0,all,noop,29.570374061226286,0.7125647026792938,29.570374061226286,0.0,0.0,d0,5.239735387094701,0.0
2,synthetic,d0,all,d0,34.810109448320986,0.8837243752725807,29.570374061226286,5.239735387094701,0.1711596725932869,d0,5.239735387094701,1.0
2,synthetic,d0,all,d1,34.025151362674336,0.8384356643011872,29.570374061226286,4.4547773014480505,0.12587096162189337,d0,5.239735387094701,0.8501912734791958
2,synthetic,d0,all,d15,31.553781911464924,0.7876298898069511,29.570374061226286,1.9834078502386383,0.0750651871276573,d0,5.239735387094701,0.3785320638755361
2,synthetic,d0,all,d2,31.663618997063434,0.7865197422946563,29.570374061226286,2.0932449358371485,0.07395503961536243,d0,5.239735387094701,0.399494398322622
2,synthetic,d0,all,d3,30.304489025706975,0.7411474861306764,29.570374061226286,0.734114964480689,0.028582783451382543,d0,5.239735387094701,0.14010535079477304
2,synthetic,d0,all,d3n,29.80702734482456,0.7370600467520141,29.570374061226286,0.23665328359827598,0.02449534407272025,d0,5.239735387094701,0.04516512115881756
2,synthetic,d1,1,noop,34.37934485959335,0.8983563059428488,34.37934485959335,0.0,0.0,d1,2.6225994640224997,0.0
2,synthetic,d1,1,d0,30.808321222296343,0.8636363730744017,34.37934485959335,-3.57102363729701,-0.0347199328684471,d1,2.6225994640224997,-1.3616351586604205
2,synthetic,d1,1,d1,37.00194432361585,0.9548042635514703,34.37934485959335,2.6225994640224997,0.056447957608621535,d1,2.6225994640224997,1.0
2,synthetic,d1,1,d15,35.23647211101693,0.9489337263196846,34.37934485959335,0.8571272514235773,0.05057742037683588,d1,2.6225994640224997,0.32682354403784164
2,synthetic,d1,1,d2,34.911704434676906,0.9477922034487478,34.37934485959335,0.5323595750835537,0.04943589750589905,d1,2.6225994640224997,0.20298927929582863
2,synthetic,d1,1,d3,34.48388648843542,0.9311231222622831,34.37934485959335,0.10454162884206397,0.032766816319434344,d1,2.6225994640224997,0.039861835661980864
2,synthetic,d1,1,d3n,32.54726514073045,0.9115248546410055,34.37934485959335,-1.8320797188629,0.013168548698156757,d1,2.6225994640224997,-0.6985739698325442
2,synthetic,d1,2,noop,32.67496009701294,0.8458906221109936,32.67496009701294,0.0,0.0,d1,3.6889545041294767,0.0
2,synthetic,d1,2,d0,35.38709223321906,0.9401729449755709,32.67496009701294,2.7121321362061153,0.09428232286457727,d1,3.6889545041294767,0.7352034656892921
2,synthetic,d1,2,d1,36.36391460114242,0.9447064191466765,32.67496009701294,3.6889545041294767,0.09881579703568288,d1,3.6889545041294767,1.0
2,synthetic,d1,2,d15,34.65372958868322,0.9238382054550547,32.67496009701294,1.9787694916702776,0.07794758334406104,d1,3.6889545041294767,0.5364038752592938
