domain,column,strength,row,psnr_db_n,psnr_db_mean,psnr_db_min,psnr_db_max,psnr_db_range,ssim_n,ssim_mean,ssim_min,ssim_max,ssim_range,gain_db_n,gain_db_mean,gain_db_min,gain_db_max,gain_db_range,gain_ssim_n,gain_ssim_mean,gain_ssim_min,gain_ssim_max,gain_ssim_range,denominator_db_n,denominator_db_mean,denominator_db_min,denominator_db_max,denominator_db_range,retained_n,retained_mean,retained_min,retained_max,retained_range,source
synthetic,d0,2,d2,4,32.798179862976916,32.58103115995166,33.02545845139195,0.4444272914402916,4,0.8416117205621363,0.8359932905939264,0.8457705530426312,0.009777262448704804,4,2.0583039469474684,1.9956900850036376,2.09962921568901,0.1039391306853723,4,0.07721879881835855,0.07509493682585966,0.0789103177315752,0.0038153809057155375,4,6.176778772142809,6.140248947444487,6.226709090040323,0.08646014259583623,4,0.3332332126823231,0.3250079662411518,0.3419452914140974,0.016937325172945605,original_synthetic_results
synthetic,d0,2,d3,4,31.6538003878215,31.46372089135255,31.878176087751076,0.41445519639852435,4,0.8035870156212239,0.7968042224057963,0.8097931278731342,0.012988905467337886,4,0.913924471792062,0.8783798164045322,0.9353444010220819,0.05696458461754972,4,0.0391940938774461,0.03784385036640736,0.04009376394356923,0.002249913577161866,4,6.176778772142809,6.140248947444487,6.226709090040323,0.08646014259583623,4,0.1479583609014381,0.14304848225790176,0.15233004541474876,0.009281563156847,original_synthetic_results
synthetic,d0,2,d3n,4,31.322223912535996,31.052822316129443,31.593807148284196,0.5409848321547521,4,0.8002200183795616,0.792627386923687,0.8072836898749983,0.014656302951311373,4,0.5823479965065541,0.4674812411814244,0.6467397439088067,0.1792585027273823,4,0.03582709663578376,0.03496259874301333,0.036608073658226825,0.0016454749152134962,4,6.176778772142809,6.140248947444487,6.226709090040323,0.08646014259583623,4,0.0942431833639768,0.07613162414042218,0.10386541824208115,0.027733794101658965,original_synthetic_results
synthetic,d0,2,noop,4,30.73987591602944,30.58534107494802,30.94706740437539,0.3617263294273698,4,0.7643929217437778,0.7570829728623512,0.7706756162167715,0.013592643354420342,4,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4,6.176778772142809,6.140248947444487,6.226709090040323,0.08646014259583623,4,0.0,0.0,0.0,0.0,original_synthetic_results
synthetic,d0,3,d0,4,34.33087411632269,34.10580710146908,34.578830767170366,0.47302366570128385,4,0.8925429272065564,0.8877911236084682,0.8968228980409148,0.009031774432446515,4,5.192553944764808,5.10517458418725,5.263682226440718,0.15850764225346836,4,0.19510989652422325,0.19214830256963555,0.19874342676479484,0.006595124195159285,4,5.192553944764808,5.10517458418725,5.263682226440718,0.15850764225346836,4,1.0,1.0,1.0,0.0,original_synthetic_results
synthetic,d0,3,d1,4,34.41276583851013,34.19173422441796,34.66432616471125,0.47259194029329166,4,0.8913325547538197,0.8864812852071484,0.8954153432588622,0.008934058051713767,4,5.274445666952254,5.191101707136124,5.3491776239816,0.15807591684547617,4,0.1938995240714866,0.19042046836092452,0.19743358836347502,0.007013120002550499,4,5.192553944764808,5.10517458418725,5.263682226440718,0.15850764225346836,4,1.0157667885612025,1.0108896361997661,1.01910363268573,0.00821399648596377,original_synthetic_results
synthetic,d0,3,d15,4,30.99703636248876,30.787126097701524,31.232348169676015,0.4452220719744915,4,0.778693487919236,0.7725730413786123,0.7827820699567526,0.010209028578140322,4,1.8587161909308811,1.786493580419691,1.917199628946367,0.130706048526676,4,0.08126045723690292,0.0781074744854734,0.08454805560375034,0.006440581118276945,4,5.192553944764808,5.10517458418725,5.263682226440718,0.15850764225346836,4,0.3578962426892943,0.34993780348926173,0.3642316436421296,0.014293840152867887,original_synthetic_results
synthetic,d0,3,d2,4,31.203922737522202,30.993607745282528,31.455991094168365,0.46238334888583665,4,0.7769514069338174,0.7695839903192341,0.7837050736594088,0.0141210833401747,4,2.065602565964321,1.9929752280006952,2.1408425534387163,0.14786732543802117,4,0.07951837625148434,0.07857043004177011,0.08053629347556068,0.001965863433790571,4,5.192553944764808,5.10517458418725,5.263682226440718,0.15850764225346836,4,0.3977395822382964,0.39038336400359935,0.4067195665203266,0.01633620251672724,original_synthetic_results
synthetic,d0,3,d3,4,29.714931226437848,29.550548076002812,29.909562687582813,0.35901461158000103,4,0.7207450092034355,0.71251220497447,0.7285005833915141,0.015988378417044147,4,0.5766110548799661,0.5499155587209792,0.5944141468531647,0.044498588132185546,4,0.023311978521102478,0.022016724325285453,0.02394069370809293,0.0019239693828074778,4,5.192553944764808,5.10517458418725,5.263682226440718,0.15850764225346836,4,0.11102534539490755,0.1077172875584482,0.11292743772929191,0.005210150170843711,original_synthetic_results
synthetic,d0,3,d3n,4,29.550122578159876,29.295570274675395,29.819536065831432,0.5239657911560371,4,0.7200994526919384,0.7115009920991643,0.7287140567677681,0.01721306466860384,4,0.4118024066019954,0.2949377573935621,0.5043875251017838,0.20944976770822166,4,0.02266642200960539,0.021990795378383665,0.02403946129648893,0.0020486659181052636,4,5.192553944764808,5.10517458418725,5.263682226440718,0.15850764225346836,4,0.07915991367568113,0.05777231562405354,0.09582408348439543,0.03805176786034189,original_synthetic_results
