replica,row,epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,d2,57,80598.0,3.278e-06,0.019449,34.1895,0.89299,61.4
1,d2,58,82012.0,1.847e-06,0.019482,34.1929,0.89324,61.4
1,d2,59,83426.0,8.217e-07,0.019434,34.1965,0.89333,61.5
1,d2,60,84840.0,2.056e-07,0.019536,34.1967,0.89325,61.6
1,d3,1,1414.0,0.0003,0.03746,28.0018,0.70584,1070.0
1,d3,2,2828.0,0.0002998,0.037114,27.9998,0.709,1073.1
1,d3,3,4242.0,0.0002992,0.036795,28.1697,0.71027,1068.0
1,d3,4,5656.0,0.0002982,0.036452,28.1134,0.71182,1068.7
1,d3,5,7070.0,0.0002967,0.036343,28.2122,0.71482,1069.3
1,d3,6,8484.0,0.0002949,0.036096,28.1525,0.71734,1068.3
1,d3,7,9898.0,0.0002927,0.035884,28.1188,0.71659,1068.1
1,d3,8,11312.0,0.00029,0.035774,28.2174,0.72027,1069.8
1,d3,9,12726.0,0.000287,0.035682,28.1997,0.71942,1070.6
1,d3,10,14140.0,0.0002837,0.035546,28.2733,0.72129,1069.0
1,d3,11,15554.0,0.0002799,0.035518,28.2706,0.72126,1066.1
1,d3,12,16968.0,0.0002758,0.035442,28.3564,0.72172,1066.8
1,d3,13,18382.0,0.0002714,0.035367,28.3215,0.7234,1067.3
1,d3,14,19796.0,0.0002666,0.035295,28.3824,0.72286,1069.8
1,d3,15,21210.0,0.0002615,0.03524,28.3348,0.7244,1069.0
1,d3,16,22624.0,0.0002561,0.035197,28.3531,0.72429,1071.4
1,d3,17,24038.0,0.0002504,0.035108,28.368,0.72485,1072.3
1,d3,18,25452.0,0.0002444,0.03511,28.2655,0.72731,1071.9
1,d3,19,26866.0,0.0002382,0.0351,28.3948,0.72677,1069.9
1,d3,20,28280.0,0.0002317,0.035078,28.3947,0.7268,1069.3
1,d3,21,29694.0,0.000225,0.034918,28.4472,0.72566,1070.5
1,d3,22,31108.0,0.0002181,0.034989,28.3287,0.72868,1070.7
1,d3,23,32522.0,0.000211,0.034937,28.3788,0.72705,1069.4
1,d3,24,33936.0,0.0002038,0.034848,28.3988,0.72873,1069.8
1,d3,25,35350.0,0.0001964,0.034782,28.4654,0.72779,1070.3
1,d3,26,36764.0,0.0001888,0.034834,28.483,0.72864,1070.0
1,d3,27,38178.0,0.0001812,0.034781,28.5305,0.7262,1070.4
1,d3,28,39592.0,0.0001735,0.034789,28.4995,0.72903,1071.0
1,d3,29,41006.0,0.0001657,0.034818,28.4736,0.72843,1071.8
1,d3,30,42420.0,0.0001579,0.034647,28.5501,0.72904,1071.9
1,d3,31,43834.0,0.00015,0.034697,28.4948,0.72914,1073.9
1,d3,32,45248.0,0.0001421,0.034718,28.5517,0.73016,1072.3
1,d3,33,46662.0,0.0001343,0.03462,28.5605,0.73057,1072.6
1,d3,34,48076.0,0.0001265,0.034625,28.5429,0.73053,1071.5
1,d3,35,49490.0,0.0001188,0.034585,28.5444,0.72928,1073.0
1,d3,36,50904.0,0.0001112,0.03459,28.5589,0.73056,1074.4
1,d3,37,52318.0,0.0001036,0.034565,28.5558,0.73031,1073.0
1,d3,38,53732.0,9.624e-05,0.034486,28.4672,0.73076,1073.3
1,d3,39,55146.0,8.899e-05,0.03452,28.5517,0.73108,1073.6
